order_id,customer_id,order_date,order_amount
ORD-10000,CUST-1001,2024-03-03,16.39
ORD-10001,CUST-1001,2024-06-06,72.24
ORD-10002,CUST-1001,2024-08-05,13.85
ORD-10003,CUST-1002,2024-05-01,60.86
ORD-10004,CUST-1002,2024-05-31,34.87
ORD-10005,CUST-1003,2024-05-26,52.08
ORD-10006,CUST-1004,2024-01-19,73.3
ORD-10007,CUST-1005,2024-02-09,87.43
ORD-10008,CUST-1005,2024-03-11,20.96
ORD-10009,CUST-1005,2024-04-15,14.77
ORD-10010,CUST-1006,2024-07-27,63.93
ORD-10011,CUST-1007,2024-01-19,38.08
ORD-10012,CUST-1007,2024-02-15,33.08
ORD-10013,CUST-1007,2024-05-09,41.18
ORD-10014,CUST-1007,2024-05-28,63.36
ORD-10015,CUST-1007,2024-06-08,117.83
ORD-10016,CUST-1007,2024-06-16,294.22
ORD-10017,CUST-1008,2024-11-22,92.26
ORD-10018,CUST-1009,2024-12-11,75.96
ORD-10019,CUST-1009,2025-01-03,16.77
ORD-10020,CUST-1010,2024-02-17,93.69
ORD-10021,CUST-1010,2024-04-26,66.05
ORD-10022,CUST-1010,2024-07-06,56.75
ORD-10023,CUST-1011,2024-01-13,78.26
ORD-10024,CUST-1012,2024-01-31,34.74
ORD-10025,CUST-1012,2024-02-12,185.07
ORD-10026,CUST-1012,2024-05-01,77.73
ORD-10027,CUST-1012,2024-08-06,118.32
ORD-10028,CUST-1013,2024-04-01,48.71
ORD-10029,CUST-1013,2024-06-21,140.64
ORD-10030,CUST-1013,2024-06-26,58.97
ORD-10031,CUST-1013,2024-07-25,28.83
ORD-10032,CUST-1014,2024-07-26,91.42
ORD-10033,CUST-1015,2024-01-15,73.63
ORD-10034,CUST-1015,2024-02-20,15.94
ORD-10035,CUST-1015,2024-03-10,167.78
ORD-10036,CUST-1015,2024-03-27,22.67
ORD-10037,CUST-1016,2024-09-09,77.75
ORD-10038,CUST-1016,2024-10-18,18.65
ORD-10039,CUST-1016,2025-01-12,37.64
ORD-10040,CUST-1016,2025-01-26,15.21
ORD-10041,CUST-1016,2025-03-12,86.07
ORD-10042,CUST-1017,2024-06-03,191.92
ORD-10043,CUST-1017,2024-06-14,39.61
ORD-10044,CUST-1017,2024-06-24,180.6
ORD-10045,CUST-1018,2024-07-30,30.5
ORD-10046,CUST-1018,2024-08-08,160.38
ORD-10047,CUST-1019,2024-03-05,161.23
ORD-10048,CUST-1019,2024-04-20,13.1
ORD-10049,CUST-1019,2024-04-29,83.3
ORD-10050,CUST-1019,2024-05-04,23.9
ORD-10051,CUST-1019,2024-06-13,89.03
ORD-10052,CUST-1019,2024-08-04,29.01
ORD-10053,CUST-1019,2024-10-04,30.1
ORD-10054,CUST-1020,2024-04-16,30.68
ORD-10055,CUST-1020,2024-09-30,44.96
ORD-10056,CUST-1020,2025-01-13,77.33
ORD-10057,CUST-1020,2025-03-30,57.9
ORD-10058,CUST-1020,2025-05-12,56.59
ORD-10059,CUST-1021,2024-09-15,25.17
